iter	Passed	Remaining
0	8	80129
1	15	78051
2	21	71830
3	28	71837
4	36	72626
5	42	70411
6	48	69706
7	54	68623
8	62	69826
9	68	68595
10	74	67783
11	82	68268
12	88	68251
13	97	69380
14	104	69295
15	110	69128
16	116	68413
17	121	67608
18	129	67896
19	134	67354
20	141	67282
21	149	67677
22	155	67453
23	162	67490
24	168	67196
25	177	67970
26	183	67829
27	190	67780
28	198	68252
29	208	69128
30	217	69895
31	224	69926
32	232	70173
33	239	70055
34	246	70049
35	251	69699
36	258	69734
37	265	69516
38	271	69413
39	278	69426
40	284	69191
41	293	69580
42	299	69339
43	307	69641
44	314	69673
45	322	69729
46	330	69936
47	338	70208
48	346	70385
49	355	70686
50	362	70711
51	369	70716
52	376	70711
53	383	70656
54	390	70666
55	397	70631
56	404	70617
57	410	70438
58	417	70378
59	424	70306
60	430	70127
61	438	70237
62	444	70160
63	453	70365
64	459	70287
65	466	70208
66	474	70311
67	480	70221
68	489	70429
69	495	70336
70	503	70443
71	510	70395
72	520	70763
73	528	70830
74	536	71036
75	544	71098
76	553	71313
77	561	71378
78	570	71658
79	578	71675
80	586	71804
81	595	72049
82	603	72158
83	609	72005
84	618	72100
85	624	71961
86	630	71870
87	637	71783
88	643	71620
89	650	71638
90	657	71572
91	663	71483
92	669	71354
93	676	71239
94	684	71374
95	690	71239
96	697	71224
97	704	71180
98	710	71060
99	719	71228
100	725	71146
101	733	71192
102	739	71085
103	747	71096
104	754	71098
105	761	71111
106	769	71100
107	775	71056
108	783	71093
109	790	71085
110	799	71247
111	807	71248
112	817	71529
113	824	71494
114	834	71690
115	843	71847
116	852	72018
117	865	72442
118	874	72592
119	885	72867
120	896	73194
121	905	73285
122	915	73545
123	925	73710
124	934	73800
125	943	73901
126	950	73885
127	956	73794
128	966	73941
129	973	73902
130	981	73912
131	987	73832
132	995	73839
133	1001	73773
134	1010	73847
135	1017	73798
136	1025	73823
137	1032	73771
138	1039	73737
139	1046	73706
140	1053	73651
141	1062	73777
142	1069	73694
143	1077	73733
144	1083	73644
145	1090	73628
146	1097	73572
147	1104	73511
148	1111	73461
149	1117	73367
150	1126	73495
151	1134	73485
152	1142	73525
153	1148	73458
154	1157	73535
155	1166	73589
156	1175	73721
157	1183	73696
158	1190	73695
159	1197	73634
160	1204	73610
161	1211	73575
162	1218	73510
163	1225	73499
164	1232	73443
165	1241	73570
166	1248	73516
167	1257	73612
168	1264	73585
169	1273	73646
170	1280	73621
171	1290	73724
172	1297	73678
173	1306	73778
174	1314	73800
175	1323	73899
176	1331	73908
177	1340	73986
178	1347	73937
179	1356	74010
180	1363	73983
181	1373	74085
182	1381	74103
183	1389	74115
184	1396	74103
185	1404	74103
186	1411	74089
187	1420	74127
188	1427	74102
189	1436	74152
190	1443	74126
191	1452	74218
192	1460	74209
193	1469	74268
194	1476	74252
195	1485	74294
196	1493	74295
197	1502	74385
198	1510	74372
199	1518	74401
200	1525	74371
201	1533	74376
202	1540	74363
203	1548	74381
204	1556	74346
205	1564	74377
206	1571	74364
207	1580	74411
208	1587	74392
209	1595	74387
210	1603	74378
211	1610	74364
212	1618	74364
213	1625	74335
214	1633	74345
215	1641	74336
216	1648	74340
217	1657	74367
218	1665	74395
219	1673	74384
220	1683	74505
221	1692	74547
222	1701	74617
223	1711	74715
224	1720	74724
225	1730	74818
226	1738	74829
227	1748	74923
228	1756	74933
229	1764	74966
230	1772	74962
231	1782	75050
232	1791	75077
233	1799	75092
234	1810	75235
235	1818	75229
236	1827	75281
237	1835	75272
238	1843	75300
239	1851	75294
240	1859	75312
241	1867	75295
242	1875	75322
243	1883	75321
244	1893	75393
245	1901	75414
246	1911	75467
247	1919	75463
248	1928	75516
249	1938	75620
250	1947	75652
251	1957	75721
252	1965	75737
253	1976	75824
254	1984	75850
255	1996	75988
256	2008	76148
257	2017	76178
258	2027	76235
259	2035	76239
260	2043	76240
261	2054	76358
262	2062	76354
263	2073	76459
264	2081	76464
265	2091	76527
266	2098	76486
267	2107	76545
268	2115	76511
269	2124	76557
270	2131	76520
271	2139	76520
272	2146	76473
273	2154	76467
274	2161	76443
275	2169	76430
276	2176	76397
277	2184	76396
278	2191	76363
279	2199	76341
280	2207	76337
281	2213	76286
282	2222	76318
283	2229	76287
284	2238	76290
285	2245	76271
286	2254	76288
287	2261	76267
288	2270	76306
289	2278	76302
290	2287	76335
291	2296	76360
292	2305	76386
293	2314	76415
294	2322	76418
295	2332	76459
296	2339	76441
297	2348	76447
298	2355	76424
299	2364	76441
300	2372	76444
301	2381	76477
302	2389	76464
303	2397	76480
304	2405	76473
305	2414	76490
306	2422	76481
307	2431	76526
308	2439	76517
309	2448	76545
310	2456	76519
311	2463	76508
312	2471	76487
313	2479	76491
314	2487	76476
315	2495	76480
316	2502	76443
317	2510	76443
318	2518	76423
319	2525	76404
320	2533	76383
321	2540	76349
322	2547	76333
323	2554	76299
324	2563	76302
325	2570	76276
326	2577	76259
327	2585	76226
328	2593	76226
329	2600	76196
330	2608	76187
331	2615	76156
332	2623	76146
333	2630	76137
334	2637	76102
335	2645	76087
336	2652	76059
337	2661	76080
338	2668	76048
339	2676	76048
340	2683	76009
341	2691	76000
342	2698	75967
343	2706	75964
344	2713	75949
345	2721	75945
346	2729	75926
347	2736	75895
348	2743	75879
349	2751	75854
350	2759	75847
351	2766	75835
352	2775	75856
353	2783	75834
354	2791	75835
355	2798	75811
356	2807	75826
357	2814	75814
358	2823	75834
359	2831	75814
360	2839	75814
361	2846	75787
362	2854	75794
363	2862	75778
364	2870	75772
365	2878	75756
366	2886	75772
367	2894	75754
368	2903	75788
369	2911	75774
370	2920	75798
371	2928	75789
372	2938	75833
373	2945	75814
374	2954	75823
375	2961	75804
376	2970	75821
377	2977	75803
378	2986	75812
379	2993	75787
380	3002	75793
381	3009	75768
382	3018	75782
383	3026	75799
384	3037	75848
385	3046	75867
386	3057	75938
387	3067	75992
388	3075	75993
389	3085	76027
390	3093	76036
391	3103	76069
392	3113	76119
393	3122	76139
394	3131	76145
395	3138	76125
396	3146	76122
397	3154	76103
398	3162	76097
399	3170	76080
400	3177	76060
401	3185	76063
402	3193	76043
403	3202	76055
404	3209	76045
405	3218	76058
406	3226	76054
407	3235	76062
408	3244	76072
409	3252	76066
410	3260	76069
411	3268	76069
412	3277	76086
413	3285	76079
414	3294	76095
415	3302	76077
416	3311	76092
417	3319	76090
418	3328	76119
419	3336	76102
420	3344	76107
421	3352	76089
422	3360	76089
423	3368	76070
424	3377	76086
425	3384	76066
426	3392	76063
427	3400	76040
428	3408	76046
429	3415	76023
430	3424	76019
431	3431	76002
432	3439	75991
433	3447	75987
434	3455	75972
435	3463	75977
436	3473	76005
437	3480	75987
438	3489	76006
439	3497	75986
440	3505	75976
441	3513	75967
442	3521	75980
443	3529	75971
444	3538	75984
445	3547	75983
446	3556	75996
447	3563	75984
448	3572	75985
449	3580	75985
450	3589	76009
451	3598	76004
452	3607	76025
453	3615	76011
454	3623	76019
455	3631	76001
456	3640	76026
457	3648	76010
458	3657	76027
459	3665	76019
460	3675	76050
461	3682	76032
462	3690	76024
463	3698	76005
464	3706	76009
465	3714	75988
466	3722	75986
467	3729	75964
468	3738	75973
469	3745	75948
470	3755	75971
471	3762	75957
472	3771	75968
473	3779	75954
474	3787	75945
475	3794	75917
476	3804	75946
477	3811	75922
478	3819	75915
479	3826	75889
480	3834	75888
481	3842	75874
482	3850	75878
483	3858	75867
484	3866	75861
485	3873	75835
486	3881	75824
487	3888	75803
488	3896	75783
489	3903	75758
490	3910	75729
491	3918	75722
492	3925	75702
493	3933	75694
494	3940	75665
495	3948	75656
496	3955	75628
497	3962	75611
498	3969	75571
499	3974	75524
500	3982	75500
501	3988	75461
502	3996	75455
503	4002	75411
504	4008	75370
505	4015	75343
506	4021	75298
507	4029	75290
508	4035	75248
509	4042	75216
510	4049	75204
511	4055	75160
512	4063	75153
513	4070	75130
514	4078	75109
515	4084	75069
516	4090	75032
517	4098	75031
518	4105	74993
519	4113	74997
520	4121	74982
521	4130	74999
522	4138	74993
523	4147	75009
524	4155	74998
525	4164	75004
526	4172	75005
527	4180	75001
528	4189	75002
529	4197	74999
530	4203	74963
531	4210	74938
532	4216	74897
533	4223	74871
534	4229	74828
535	4235	74784
536	4243	74772
537	4249	74738
538	4257	74726
539	4264	74702
540	4271	74685
541	4278	74654
542	4284	74623
543	4292	74615
544	4298	74576
545	4305	74553
546	4311	74511
547	4319	74495
548	4326	74475
549	4332	74439
550	4340	74431
551	4346	74398
552	4353	74377
553	4360	74343
554	4370	74372
555	4378	74363
556	4384	74332
557	4391	74301
558	4398	74284
559	4404	74249
560	4411	74229
561	4418	74195
562	4424	74164
563	4431	74148
564	4438	74118
565	4445	74098
566	4452	74068
567	4460	74072
568	4467	74050
569	4474	74021
570	4480	73989
571	4486	73948
572	4494	73938
573	4500	73899
574	4506	73864
575	4513	73840
576	4519	73805
577	4526	73782
578	4531	73740
579	4537	73700
580	4545	73685
581	4551	73645
582	4558	73625
583	4564	73596
584	4571	73570
585	4578	73544
586	4583	73506
587	4590	73480
588	4597	73465
589	4605	73457
590	4611	73424
591	4618	73392
592	4625	73376
593	4631	73336
594	4637	73307
595	4643	73273
596	4649	73235
597	4657	73227
598	4663	73188
599	4669	73157
600	4676	73141
601	4682	73102
602	4690	73095
603	4696	73058
604	4704	73049
605	4710	73016
606	4716	72979
607	4722	72957
608	4729	72931
609	4736	72909
610	4742	72872
611	4747	72832
612	4756	72843
613	4763	72814
614	4771	72813
615	4777	72783
616	4784	72757
617	4790	72723
618	4796	72684
619	4804	72693
620	4810	72655
621	4817	72637
622	4823	72605
623	4829	72568
624	4837	72569
625	4843	72533
626	4850	72516
627	4856	72480
628	4862	72448
629	4871	72447
630	4877	72417
631	4884	72399
632	4890	72362
633	4895	72325
634	4903	72313
635	4909	72277
636	4916	72269
637	4923	72241
638	4928	72204
639	4935	72179
640	4941	72144
641	4948	72127
642	4954	72093
643	4959	72054
644	4968	72055
645	4973	72018
646	4980	72003
647	4988	71991
648	4994	71956
649	5000	71935
650	5006	71900
651	5014	71899
652	5020	71865
653	5026	71829
654	5033	71820
655	5039	71784
656	5046	71763
657	5052	71730
